,playlist_name,playlist_index,added_date,track_name,artist,artist_genres,artist_index,album,release_date,release_date_precision,track_popularity,artist_popularity,duration_ms,track_external_ids,track_spotify_id,playlist_date,isrc_country
0,March 2025,1,2025-03-01 13:47:18+00:00,Down To The Waterline,Dire Straits,['classic rock'],1,Dire Straits,1978-10-07,day,68,79,241906,{'isrc': 'GBF087800019'},7fYKKFD0jiSlMDgG9IUs1q,2025-03-01,GB
1,March 2025,2,2025-03-01 14:40:17+00:00,Lions,Dire Straits,['classic rock'],1,Dire Straits,1978-10-07,day,52,79,303893,{'isrc': 'GBF089601044'},4PgZTLaGAMlKD6FCATr2sz,2025-03-01,GB
2,March 2025,3,2025-03-02 13:02:22+00:00,Water Of Love,Dire Straits,['classic rock'],1,Dire Straits,1978-10-07,day,63,79,325133,{'isrc': 'GBF087900639'},62JvDbmEtwIU3m4LhiG6Ah,2025-03-01,GB
3,March 2025,4,2025-03-02 13:09:25+00:00,Six Blade Knife,Dire Straits,['classic rock'],1,Dire Straits,1978-10-07,day,70,79,252000,{'isrc': 'GBF089601039'},2miIOgni3EEut8pvYcxeYn,2025-03-01,GB
4,March 2025,5,2025-03-02 13:17:20+00:00,Sultans Of Swing,Dire Straits,['classic rock'],1,Dire Straits,1978-10-07,day,84,79,348400,{'isrc': 'GBF089601041'},37Tmv4NnfQeb0ZgUC4fOJj,2025-03-01,GB
5,March 2025,6,2025-03-02 13:31:36+00:00,Wild West End,Dire Straits,['classic rock'],1,Dire Straits,1978-10-07,day,63,79,281706,{'isrc': 'GBF089601043'},6yVnpVWuT3NdhAmQe05T33,2025-03-01,GB
6,March 2025,7,2025-03-02 14:37:21+00:00,Communiqué,Dire Straits,['classic rock'],1,Communiqué,1979-06-15,day,54,79,348960,{'isrc': 'GBF087900661'},65yZkiuWflku6XPch2iqqq,2025-03-01,GB
7,March 2025,8,2025-03-02 14:44:06+00:00,Lady Writer,Dire Straits,['classic rock'],1,Communiqué,1979-06-15,day,72,79,224666,{'isrc': 'GBF087900662'},2RBcYkonAofm0rYycVrCGt,2025-03-01,GB
8,March 2025,9,2025-03-02 14:56:19+00:00,Single Handed Sailor,Dire Straits,['classic rock'],1,Communiqué,1979-06-15,day,52,79,282800,{'isrc': 'GBF087900665'},0lFnN31Rw1x5Mx1kojwQQY,2025-03-01,GB
9,March 2025,10,2025-03-03 15:24:05+00:00,News,Dire Straits,['classic rock'],1,Communiqué,1979-06-15,day,62,79,253400,{'isrc': 'GBF087900659'},4s6p0rVzSaWqaJRsp0HBDI,2025-03-01,GB
10,March 2025,11,2025-03-03 17:20:39+00:00,Crystals,M|O|O|N,"['synthwave', 'vaporwave']",1,Moon - EP,2011-11-27,day,0,48,289714,{'isrc': 'usx9p1263859'},5isHndEunT9J7bv4Mz9jgs,2025-03-01,us
11,March 2025,12,2025-03-04 17:53:21+00:00,Once Upon A Time In The West,Dire Straits,['classic rock'],1,Communiqué,1979-06-15,day,67,79,324200,{'isrc': 'GBF087900658'},0vlCOzte4bru0gK74lfUIJ,2025-03-01,GB
12,March 2025,13,2025-03-04 18:45:21+00:00,New Beastly,Vulfpeck,['funk rock'],1,Clarity of Cal,2025-03-04,day,55,63,251748,{'isrc': 'QMFMF2433745'},1yQNHzLx4VFofmUNHT3FHa,2025-03-01,QM
13,March 2025,14,2025-03-06 16:42:51+00:00,Fugue State,Vulfpeck,['funk rock'],1,Fugue State,2014-08-26,day,49,63,161852,{'isrc': 'TCABZ1466841'},2Ux3BFgzXm0YoD37nBQjJt,2025-03-01,TC
14,March 2025,15,2025-03-06 16:44:02+00:00,1612,Vulfpeck,['funk rock'],1,Fugue State,2014-08-26,day,56,63,199639,{'isrc': 'TCABZ1466842'},39rHfrVqCX6A55GF7uOZSC,2025-03-01,TC
15,March 2025,16,2025-03-06 16:50:08+00:00,Sky Mall,Vulfpeck,['funk rock'],1,Fugue State,2014-08-26,day,39,63,155667,{'isrc': 'TCABZ1466844'},0e3Ss9QHdiGCyOst88pilL,2025-03-01,TC
16,March 2025,17,2025-03-09 09:45:20+00:00,Insecure,Tom Misch,[],1,Insecure,2024-05-02,day,29,67,195106,{'isrc': 'QM6MZ2432736'},3tLVfEh8kJhMkDaxvOzK1M,2025-03-01,QM
17,March 2025,18,2025-03-09 09:51:52+00:00,Invincible,Tom Misch,[],1,Six Songs,2024-12-20,day,56,67,207706,{'isrc': 'QMFME2464413'},6vXHUbR7Mkr5ZvSZS7JE26,2025-03-01,QM
18,March 2025,19,2025-03-09 13:28:45+00:00,it's not litter if you bin it,Niko B,[],1,dog eat dog food world,2024-05-24,day,46,52,186005,{'isrc': 'GB45A2400057'},6CO5jaNwuiZJ0rlwMBeVSm,2025-03-01,GB
19,March 2025,20,2025-03-09 16:31:52+00:00,Tee Time,Vulfpeck,['funk rock'],1,Mr Finish Line,2017-11-07,day,35,63,169003,{'isrc': 'TCADG1740517'},3XxpR8oXqq5Km5X4LlS0pi,2025-03-01,TC
20,March 2025,21,2025-03-09 16:35:07+00:00,"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)",Vulfpeck,['funk rock'],1,Mr Finish Line,2017-11-07,day,41,63,272251,{'isrc': 'TCADG1740518'},6tOgeTNf9Zvts2JXwXFeQZ,2025-03-01,TC
