id,date,name,description,n_tracks,url,cover_image_url,snapshot_id
1ZuOGhyyL9u6nZMkrPOaXi,2025-10-01,October 2025,,6,https://api.spotify.com/v1/playlists/1ZuOGhyyL9u6nZMkrPOaXi,https://mosaic.scdn.co/640/ab67616d00001e021a9909a62934d5a80a73152eab67616d00001e023eb3eaae23e2e58d7d5756ceab67616d00001e0245c1bba61509d3d4a7f6eb05ab67616d00001e0272f48f1e2e04cc76d06ee708,AAAAB0lbqEn5IXjBmT6oE/TbeLlS5o/X
7gKE5N6YKBxYPn0mT9kFBo,2025-09-01,September 2025,corporate grovelling,36,https://api.spotify.com/v1/playlists/7gKE5N6YKBxYPn0mT9kFBo,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e04fbb321c0a2a0703642239,AAAALGmKtp986hmTgJFSus2jvXDZW3Yy
1PCGDpdCdvZYfi2mvXmfcX,2025-08-01,August 2025,disaugusting,34,https://api.spotify.com/v1/playlists/1PCGDpdCdvZYfi2mvXmfcX,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847612da42c0b0db7fb37604b7,AAAAKcx0r02VEirIzO/nt23SHVb5180H
32eRKtHIGg5ZS18jE1tIC3,2025-07-01,July 2025,good problems to have,51,https://api.spotify.com/v1/playlists/32eRKtHIGg5ZS18jE1tIC3,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e3acef15a98fa42e6a9c73e0,AAAAObVlPqOjK1N5NJHqHtn5SDZb8p9D
1dAKocsMZ2g4AqkY9nV906,2025-06-01,June 2025,it seems perhaps they will,65,https://api.spotify.com/v1/playlists/1dAKocsMZ2g4AqkY9nV906,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84b43d798069b193bd2ff83b04,AAAATonlWMYADrWYH0pgK67Tguhmo7ic
66MNjc3azuCiTlhQe6zHqq,2025-05-01,May 2025,complete unabridged boys night,50,https://api.spotify.com/v1/playlists/66MNjc3azuCiTlhQe6zHqq,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8422452109bb76dc23b7639c58,AAAAOq0HobHDBHF80VoXgOVLKhBCExWe
1YHt2tcyv5xR5m2KX0rA9t,2025-04-01,April 2025,b.abka,23,https://api.spotify.com/v1/playlists/1YHt2tcyv5xR5m2KX0rA9t,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84e6d2f89ccd432e502aa4642e,AAAAH8DWI2H7jRk8InDsNHjLS9YNsySv
393eD1ePHqyMRaEREcBow8,2025-03-01,March 2025,unintentional,57,https://api.spotify.com/v1/playlists/393eD1ePHqyMRaEREcBow8,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8451432e19aa96fe70f59aa040,AAAAPL7d377RlSsMMCzLFNmT4wuTJ86z
1Vc3qFg0aLYW74jKls7KJr,2025-02-01,February 2025,needlessly impressive,81,https://api.spotify.com/v1/playlists/1Vc3qFg0aLYW74jKls7KJr,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847f25ada080b0ab937a1c1f15,AAAAWDjRI+qO1uUHINQWiH1kLCnzhxNm
6EzPT7miKeG0XXFDwxty5m,2025-01-01,January 2025,the love of the game,45,https://api.spotify.com/v1/playlists/6EzPT7miKeG0XXFDwxty5m,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842d94d8fe77ea755e2e3a9b88,AAAANu2bsZTtD6ToqLwAfKfwAsa8MlyG
4vLwsLC5UF03wTIZIVHQYN,2024-12-01,12-24,,74,https://api.spotify.com/v1/playlists/4vLwsLC5UF03wTIZIVHQYN,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b7e2b243c175301cd110eb78,AAAAUNG0DnIY3qAOxzYA6JhjlNqIfqll
2AWZiaQI0FCIRVYhLULttM,2024-11-01,11-24,lifting fingers,51,https://api.spotify.com/v1/playlists/2AWZiaQI0FCIRVYhLULttM,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da844f914bfedd0554b1ec3c555e,AAAAOwzzKBZ7VOG/nCM0dMLUVynlc6Zy
1yELTkAbOLORezwZZUUMVp,2024-10-01,10-24,,22,https://api.spotify.com/v1/playlists/1yELTkAbOLORezwZZUUMVp,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da844d12f7baf109e2066e700f09,AAAAGJNKMA30cucb2nhPGxfgtXSk7D4P
7MSqm4bi9QHrMitKaubxk7,2024-09-01,09-24,fishes and finance 🫰,28,https://api.spotify.com/v1/playlists/7MSqm4bi9QHrMitKaubxk7,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84339bc59a3ec30ae56a4f707a,AAAAI8Uw9rGV59LK+s0VUico5qHs0uRS
5eFKqgjQihGkGVph5B21Ws,2024-08-01,08-24,lobotomate,45,https://api.spotify.com/v1/playlists/5eFKqgjQihGkGVph5B21Ws,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84db44fb757d860ddcdf84a98d,AAAANTD1zIpOBozfPMuPmZ57UTEdutDG
2vFxm48RVtewMhHPMgT47w,2024-07-01,07-24,my congratulations to mr and mrs neely,92,https://api.spotify.com/v1/playlists/2vFxm48RVtewMhHPMgT47w,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84cc6e0f9efe58ed2e898eee9a,AAAAYn00fql2Xrex2zomFMoJmYuUmJUy
