id,name,album,album_id,duration,release_date,release_date_precision,popularity,external_ids,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,artist_9,artist_10
7qTbTo4znZF9e9hlmB1sqE,サヨナラ・・・FUJIさん,TAKANAKA ALL TIME SUPER BEST,0l4YS5OwpdzwX7gTyUHU5j,268786,2022-01-12,day,30,{'isrc': 'JPKT07600706'},2Ex4vjQ6mSh5woTlDWto6d,,,,,,,,,
6wGvBmy3IBRC8daLUqiS9f,All Good?,All Good? (Remixes),3QulNKlVOatykobKdV8cXw,299008,2025-08-08,day,26,{'isrc': 'QMMEH2200216'},1Z8ODXyhEBi3WynYw0Rya6,6mQfAAqZGBzIfrmlZCeaYT,,,,,,,,
1Myuv6YUjLyOownmZZWnxy,FANTASY,２時までのシンデレラ－ＦＲＩＤＡＹ　ＭＡＧＩＣ－,2I4SaLqhVu7luvEmyDANCN,263826,1982-12-21,day,57,{'isrc': 'JPTO08815590'},0dIGBGRHRiNzdTpZofcJ3Z,,,,,,,,,
1YeNvc534KbvMMfdUVDNiW,Toccata,Lighter Notes,6oDOyGRJX3Ns3QhA31Na8B,119880,2024-03-08,day,46,{'isrc': 'DECY92400845'},5ypQRq934XJmh9eXioqKiQ,,,,,,,,,
1MTAY8MZVScfv1ZIfgspbG,You Got To Be You,You Got To Be You,5pEa7xIcBwZqO7hYiYSjmx,227874,2021-12-24,day,17,{'isrc': 'QZRP42117300'},6xt9sJmmyYwWkJv8A6ssiU,,,,,,,,,
7iQzzNzwTCHNW0NO9EVRCO,The Optimist,The Optimist,0A8cq3cjiMMP8lI1SeG4GN,215520,2018-08-17,day,26,{'isrc': 'QZDA51818194'},6xt9sJmmyYwWkJv8A6ssiU,,,,,,,,,
7wjmwD5nIYWVnHiR3X3PTO,Golden,Elevator Music for an Elevated Mood,1LL5VZdY7CBXScXB0oQ4tB,212933,2020-01-10,day,48,{'isrc': 'QZK6P1959843'},6xt9sJmmyYwWkJv8A6ssiU,7dOCnyDR2oEa1hQlvTXvdT,,,,,,,,
5ZVI0chJSdsqsj458FbFLr,No Cure,No Cure,0CRxE7nHIT6T1S5esl1k7l,215288,2019-04-19,day,27,{'isrc': 'QM4TX1995782'},36T1dKV85iiOQQUl3WF0F5,,,,,,,,,
0SLedTMdKihqLsR6CGPAfD,Goodums - Sammy Virji Remix,Goodums (Sammy Virji Remix),2EpS6fVyBu0gxLlOYdytSN,184364,2023-10-20,day,56,{'isrc': 'GBUM72309289'},3iAhNz3e31lBuXYOsqGsf3,1GuqTQbuixFHD6eBkFwVcb,,,,,,,,
2bE5QqVc9q4w5ETEKAazQr,Send My Love to Linda,Both Sides of the Sky,0EfHWQeb3T1UJw9KrqN407,276786,2018-03-09,day,31,{'isrc': 'USQX91702594'},776Uo845nYHJpNaStv1Ds4,,,,,,,,,
552lBxKLGjerBDS8VYHOJn,No Merci,NO THANK YOU,57263zG8Md6XZ9lBUPPYCm,317278,2022-12-12,day,45,{'isrc': 'QMFME2257576'},6eXZu6O7nAUA5z6vLV8NKI,,,,,,,,,
32cWu1hGQ3SgFPqEe2xVyl,Stunt Like This,Stunt Like This,5rKDQr1fJQgcReFaouMiTe,166774,2024-10-10,day,31,{'isrc': 'AUNE32400017'},6mK0vAO13gT8jWYANyoXAl,59iOp415oyqGlBHyAhu4z3,,,,,,,,
3iNAdtlehRYGgYV6rt07IM,"Give Thanks, Give Praise",it's Franky baby!,3JK7UWkTqg4uyv2OfWRvQ9,221602,2025-01-24,day,52,{'isrc': 'AUNE32400021'},6mK0vAO13gT8jWYANyoXAl,2bHgAaZ7qbGbMMXwAQm48I,4M4KGWKy7pSQ5HaJNCutBN,,,,,,,
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,#willpower,6edYDxspt9uQj21mbAfFIb,283400,2013-01-01,day,80,{'isrc': 'USUM71215597'},085pc2PYOi8bGKj0PNjekA,26dSoYclwsYLMAKD3tpOr4,,,,,,,,
27WqFiOFm2u1hax2ksdyqK,Lazy - Remastered 2012,Machine Head (Remastered),32NQ56VZDTXSH3SMv4XSGN,442840,1972-03-25,day,52,{'isrc': 'GBDXG1200007'},568ZhdwyaiCyOGJRtNYhWf,,,,,,,,,
3GdogCZTpPHBODiiEJbqQm,Teardrops,Teardrops,6SbuufeFjg252z6GFG1lXV,198331,2018-02-14,day,70,{'isrc': 'US3DF1801131'},587PA35pRGL1JwQr6idJbb,,,,,,,,,
4KcxXxPAmgOaoZ6DJlYtSe,Eyes,Mushroom Death Sex Bummer Party,57aOawpPhjYkWTbJVeVhdS,90343,2021-10-29,day,47,{'isrc': 'CASE12100081'},4fPl9Aa0FMkATDiA7AnBNM,,,,,,,,,
7oMsD1x3pV1nLm26p8Q914,Identity,Germ Free Adolescents,6O0hDvYYCjEoOzJdXkiaXa,145506,1978-11-10,day,44,{'isrc': 'GBAJE7800071'},5BgWMOdEUJYdUBH3WXfMWt,,,,,,,,,
6LyLHSYp8vaVudGy4zvnBY,Let's Submerge,Germ Free Adolescents,6O0hDvYYCjEoOzJdXkiaXa,206533,1978-11-10,day,28,{'isrc': 'GBAJE7800072'},5BgWMOdEUJYdUBH3WXfMWt,,,,,,,,,
3neOwym9kfYsM1QWaR77C1,The Largest,TAKE CARE,6LU7SYL9BWAt3TgEK4DdAc,132160,2024-10-11,day,78,{'isrc': 'QZNMU2421699'},6qxpnaukVayrQn6ViNvu9I,,,,,,,,,
4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,Life After Death (2014 Remastered Edition),7dRdaGSxgcBdJnrOviQRuB,257399,1997-03-04,day,73,{'isrc': 'USAT21402732'},5me0Irg2ANcsgc93uaYrpb,1wiBLzTI7z9RUwEpNPdFT6,59wfkuBoNyhDMQGCljbUbA,,,,,,,
7hrFCoyWwKep7qp1lP4oga,Back On My BS,THE BIGGEST,2EZ8JL3dtb54VXi3k6E7k6,94426,2023-12-01,day,76,{'isrc': 'QZNMZ2389199'},6qxpnaukVayrQn6ViNvu9I,,,,,,,,,
2SLb72zULQesB7abCBJPjU,My Parties,On Every Street,7gk5j9Ok764TbTsmkxthYt,330840,1991-09-10,day,48,{'isrc': 'GBF089601060'},0WwSkZ7LtFUFjGjMZBMt6T,,,,,,,,,
6jwOZjlgsVnE0PvEmusjqZ,Abracadabra,Gbagada Express,0ZkoBYU0ykvOrHMz2uxfkn,195789,2022-04-22,day,36,{'isrc': 'GBX722000240'},4qYpTEJThZ8FC8KzyFrSWW,0Y3agQaa6g2r0YmHPOO9rh,4TAoP0f9OuWZUesao43xUW,,,,,,,
3LtlQb74pLqC5KsllxIXoV,The Medium,MAHAL,16AQyjz1z9rOsTm6iVrBUR,187302,2022-04-29,day,31,{'isrc': 'USJ5G2130001'},6O4EGCCb6DoIiR6B1QCQgp,1LeVJ5GPeYDOVUjxx1y7Rp,,,,,,,,
0YYGtXY6RdJeIFyhzApFlK,Man Next Door aka Quiet Place,Sly & Robbie Presents Memories by the Score,4qxixUuYmfpuFNXWFekDDG,122093,1995-01-01,day,1,{'isrc': 'GB5KW2302935'},5sCZ2Gc3nZaE3Cav8WG7WG,,,,,,,,,
2uqvqso78vtVNyf8yn535h,Sex Appeal,Marre marre marre,1UWUn2N5ni5VuC14rNHqhK,209880,2008-03-03,day,54,{'isrc': 'FR6V80800775'},6yNXUzxIakMVY5LoVgZGHG,0VPogECnuuH2xbYP3Rmpd4,585FeCXfQKceH2hCHn5SKO,,,,,,,
0QpST3fcy7z1xcdFGFTk3D,DVP,The Dream Is Over,3l94HZBpKFTn1plZ1WWQPf,148893,2016-05-27,day,51,{'isrc': 'USA6G1661502'},6A7uqgC2N1nUhrCLAytHxN,,,,,,,,,
2I83WO5f7DUR5S87DLmuS7,Vapor di Imigrason,Manga,3xB66GJOyGe80myaJ9qAQ9,220013,2019-02-08,day,37,{'isrc': 'FRZ051800445'},7uriYlc9ETgOg8VPFbdnbE,,,,,,,,,
6BhO28xuLVeaWKVnd1lbCJ,SAYONARA Baby,HELP EVER HURT NEVER,1OojCidx0eoPKch2M0Kz31,260532,2020-05-20,day,51,{'isrc': 'JPPO02000612'},6bDWAcdtVR3WHz2xtiIPUi,,,,,,,,,
7i5pytF8KaId51lIzatwdg,Kiri Ga Naikara,HELP EVER HURT NEVER,1OojCidx0eoPKch2M0Kz31,217613,2020-05-20,day,47,{'isrc': 'JPPO02000609'},6bDWAcdtVR3WHz2xtiIPUi,,,,,,,,,
3dE5JkCceos3FiuQmTKfOx,L.D.R.A,Tomorrow’s People,0qk4ovxWz0en2H2HIqz2wT,269360,2021-08-20,day,17,{'isrc': 'GBCFB2100342'},0AIim12jO78DuyyUYbHfAe,4tlwGA9FRTxbAiBTW1rLJc,,,,,,,,
4WHInLldbOqJb0GTo5BwpR,Black-winged Stilt,Black-winged Stilt,035Ay6cmgYeUsTTiHuuwUB,229606,2018-04-24,day,22,{'isrc': 'TCADP1852179'},11PSrxL3fUwegNhxdfP6zE,2XSRKLos8HfSc0XGTeihoR,,,,,,,,
2jQ1P0aGT4WkNyJCeoQnb9,PUNK TACTICS,PUNK TACTICS,5L1RkN1nh5m18ZuXCktUbc,143609,2023-09-08,day,71,{'isrc': 'TCAGD2268922'},1q4618qKswelCGLoanFKQh,,,,,,,,,
6xV7Be6XEvkSnighmh2Tzj,Sugar On My Tongue,DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R,153332,2025-07-21,day,90,{'isrc': 'USQX92503270'},4V8LLVI7PbaPR0K2TGSxFF,,,,,,,,,
4waPZF96vX1Oz5pzH6dB0h,I'll Take Care of You (feat. Yebba),DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R,200860,2025-07-21,day,77,{'isrc': 'USQX92503277'},4V8LLVI7PbaPR0K2TGSxFF,1ooV8YZC1KbpEcrmI8WH0F,,,,,,,,
4SrhXzAN9P1LJlkvs91PKe,IS THIS LOVE,HYPERYOUTH,4QzLpl3oZx1P1BnhvkkAYW,180724,2025-08-15,day,50,{'isrc': 'USRC12501000'},1q4618qKswelCGLoanFKQh,,,,,,,,,
7DIMKlmJ0CL6eROkbptoqi,Sucka Free,DON'T TAP THE GLASS,1jzv3jwZbt8lYfEtMjiD1R,161051,2025-07-21,day,72,{'isrc': 'USQX92503271'},4V8LLVI7PbaPR0K2TGSxFF,,,,,,,,,
0jhDyfdBiRfMi3jh9z2S0U,100% Endurance,The Overload,4rXBcuJMRSt4izAwXNrTQu,225160,2022-01-21,day,48,{'isrc': 'GBUM72104000'},2h3ooJn8m8X8cL2g1BZ1Rd,,,,,,,,,
5lf5R2IF80Nzc3jqOv6PQc,Transitions,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,151866,1994-05-23,day,36,{'isrc': 'USCA29400107'},03r4iKL2g2442PT9n2UKsx,,,,,,,,,
0gOtNAHGUIXerBvmTO7lzy,Balaclava Lover Boogie,Big Attraction,4KHBeFFBBVnH5akhHG9OJ6,220248,2017-03-15,day,40,{'isrc': 'GBGLR1800070'},3NqV2DJoAWsjl787bWaHW7,,,,,,,,,
38TT7AskmIuGQdkhd6tJML,Westgate,Big Attraction,4KHBeFFBBVnH5akhHG9OJ6,134694,2017-03-15,day,43,{'isrc': 'GBGLR1800071'},3NqV2DJoAWsjl787bWaHW7,,,,,,,,,
6KDop8OGP6rXd3bLtZVy1h,The Overload,The Overload,4rXBcuJMRSt4izAwXNrTQu,196533,2022-01-21,day,43,{'isrc': 'GBUM72104003'},2h3ooJn8m8X8cL2g1BZ1Rd,,,,,,,,,
4dXpTNlsUxYtrQEqaB408o,Jubilation,Junior,6RnF7gvqhPFRbu5raMGQgN,209613,1959-01-01,day,36,{'isrc': 'USUM70502210'},1KTUh4AYegM2fSdac5xqPb,,,,,,,,,
6zoe2w8ubQOTM7XFGU2tUE,Black Coffee,Profile,1cde7Qcv0eKPegg7uVxgkG,271946,1960-02-01,day,44,{'isrc': 'USBN20700739'},2SZ1e7QHN5jon9tpSpQl44,,,,,,,,,
2s1UKV7odn8s2Mjwu3GKrr,After You've Gone,"Early Numbers, Vol. 2",6CJYDLOFzyuI8WuYQdMi9c,214840,2022-01-28,day,35,{'isrc': 'AUXN22222638'},3HnrKwN3HT9BXwyrDWQCFx,,,,,,,,,
11zL4p9lAIZDfYq4zaZFlC,Malice Towards None,God Bless the Child,0YOLxHA9q7yb9keghcXu8r,296706,2014-02-26,day,5,{'isrc': 'QMDA71455985'},0xRqtLGIVSzXM9yg2wFMLC,,,,,,,,,
4qKik1AXKJwXE914OsMg2x,いいだしかねて,After You've Gone,4xWQtqDp09FEqfZE8W5etp,168000,2003-03-25,day,17,{'isrc': 'JPG921000533'},3ObcIjZXcEvPEGqSJxI8KM,0tg5uVI4VjzZOFzBryJZii,1HH20UQeoWv61t7wPEzWVP,,,,,,,
7fYKKFD0jiSlMDgG9IUs1q,Down To The Waterline,Dire Straits,2rCS6Xwx32V27pvgFzLzlT,241906,1978-10-07,day,69,{'isrc': 'GBF087800019'},0WwSkZ7LtFUFjGjMZBMt6T,,,,,,,,,
4TesXLELrAp8TPGHckP6Ap,Tres Hermanos,El Bueno Y El Malo,2kfqCsmR9Uw43ruDP2hjPZ,201413,2022-10-28,day,52,{'isrc': 'USC4R2218190'},73mSg0dykFyhvU96tb5xQV,6YWdHD3R863Apw1hkx3BwC,,,,,,,,
3mPZgxRZnEerEhEsE1OKGy,Gotta Be,Gotta Be,6N0o5ahE5wkDzdnuz07prB,154218,2021-02-02,day,45,{'isrc': 'CA5KR2130384'},753xxcDfgqoyWJTs55HCal,,,,,,,,,
17rAUcoyso7DzCeVNlxeTe,Don't Stop the Blues,The Chats,1qVEcYx3PxJrqwRLUBRamT,158000,2016-11-07,day,23,{'isrc': 'AUBEC1715065'},1aQ7P3HtKOQFW16ebjiks1,,,,,,,,,
4HiM09OpjomBVXjdcWpejJ,Near U,Near U,7CxbINauBVpiZ0TpmKui7a,272238,2024-02-09,day,22,{'isrc': 'USNRS2443302'},753xxcDfgqoyWJTs55HCal,6LtDEad7bRcRxBKQoiFAlI,,,,,,,,
7CYcdTyPOfkYnAjs2QpjHQ,Fat Stack - Remix,Fat Stack (Remix),6yyBs8J3T3pwG2PpjaYsw9,155000,2022-04-01,day,39,{'isrc': 'GBNEQ2200034'},7A9q57PZ1UYY61rQVQKNUz,0l5zmyAZvL7Z8JWFzXzMWz,,,,,,,,
4MqFHxNM8uM7UEW4t56nzU,I Fall Apart,Rory Gallagher (Remastered 2017),3tk9uyWCvfQbkmvROJGUXB,312400,1971-05-23,day,55,{'isrc': 'GBUM71800002'},1kcWyDvrlPUbyxkIoM6pAV,,,,,,,,,
0Dm43YLUlGdePpSbI1ct8h,Part-Time Lover,In Square Circle,1nLKZqTGA48v3I8dNFkvQt,252560,1985-09-13,day,72,{'isrc': 'USMO18500543'},7guDJrEfX3qb6FEbdPA5qi,,,,,,,,,
184QpO8ZchGncbNyJe9SDT,Make Me Smile (Come up and See Me) - 2014 Remaster,The Best Years of Our Lives (Deluxe Version),7GSkRCzsWwH8rJhzuswLgf,239213,1975-03-22,day,0,{'isrc': 'GBAYE1349972'},3dS8rLINyM7EYuMXryXJym,6EL5GD53kaaVgJCHgdtdLz,,,,,,,,
7qk4uPeLpaKhp8lwas1sBb,There's No Other Way - 2012 Remaster,Leisure (Special Edition),0cTdvscLZjCTEKxYUlJFwa,204866,1991-08-26,day,53,{'isrc': 'GBAYE1200427'},7MhMgCo0Bl0Kukl93PZbYS,,,,,,,,,
0yEhNqCwEfy8LHUmnZoHpP,Bohemian Like You,Thirteen Tales From Urban Bohemia,0vdIT4p5OlKOcEzYKSsqn4,211706,2000-01-01,day,3,{'isrc': 'USCA20000241'},7siPLyFwRFYQkKgWKJ5Sod,,,,,,,,,
1lzaRptS63unC0qgT6hm7T,Southbound Again,Dire Straits,2rCS6Xwx32V27pvgFzLzlT,179200,1978-10-07,day,57,{'isrc': 'GBF089601040'},0WwSkZ7LtFUFjGjMZBMt6T,,,,,,,,,
